"","HL_1","HL_2","HL_3","HL_4","HL_5","HL_6","LL_1","LL_2","LL_3","LL_4","LL_5","LL_6"
"Arginine",1.08361762853296,0.851281612187438,0.791439778550038,0.803662519091213,0.767581737946026,1.6181141070995,1.47223473454505,0.781610026698869,0.746155238756077,0.780096248392399,1.21421872151588,1.00568503009172
"Glutamine",0.78650467614544,0.667258801315336,0.563666574485577,1.03523595582872,0.690715692117097,1.04372460305671,1.13817736712583,0.879345405297454,0.982477227576712,0.922554118240961,1.0286509433747,1.04879493838434
"Asparagine",1.28906093607625,0.926209295940061,0.810914690354451,1.10984949653324,1.14121595886112,1.64776602582308,1.32013989543324,0.849439058485192,0.830421046081565,0.774188380337136,1.17687544938471,1.04893617027816
"Alanine",1.41584782908202,0.890128847984766,1.02921148048239,1.05379427020599,0.715398403771496,1.51957611543621,1.40284821323111,0.685142379183546,0.912009407585348,0.684004986495898,1.26203517009954,1.05395984340456
"Serine",1.20452443049377,0.901025820802623,0.688794110426033,1.06440825406157,1.10350530037642,1.65539266764157,1.39395459009856,0.791195731169984,0.81484967873146,0.843383343349152,1.14168000095983,1.01493665569102
"Threonine",1.06862466057385,0.948953320531563,0.782455028887893,1.36838384326861,1.17196146394995,1.83936374946759,1.30777425846729,0.803266442561169,0.888959298971542,0.834570865941707,1.06116087582848,1.10426825822981
"Histidine",1.53811337374834,1.27889182183832,1.10340732235985,1.75519106637275,2.32080774905771,3.12791327177554,1.34455978770593,0.846066416470706,0.809373795823362,0.745288882076227,1.24433564228864,1.01037547563513
"Sucrose",1.20288414030483,0.968181096090155,0.842122303324314,0.911674042600676,0.75902212359642,1.61306699908921,1.32989782508146,0.788153952193878,0.881948222724662,0.759624309346317,1.18478502730739,1.05559066334629
"Valine",1.10352557725846,0.639511396242753,0.557705761875507,0.823188268245345,0.840892981869658,1.31412360352567,1.7096379987107,0.66450229765055,0.625859703638747,0.819094261663742,1.16955027500271,1.01135546333355
"Methionine",0.90065742540235,0.644568452234851,0.607312145285929,1.12793679256986,1.10811426190564,1.94446931271654,1.57322986891748,0.701701281707329,0.725068849375192,0.67778470757305,1.22754256368544,1.09467272874151
"Tyrosine",1.25972808916188,0.834505774992039,0.722492627698127,1.27001211461507,1.14921429784852,1.50380319290371,1.60189005796727,0.672848041934307,0.725261900098428,0.845881000238127,1.15579131396086,0.998327685801016
"Leucine.Isoleucine",1.07134245718825,0.525394096654584,0.427855150299345,1.10503775889485,0.971722466573108,1.62353064305365,1.91940652228091,0.544763164928123,0.535830312790964,0.729630732530178,1.21048041322543,1.0598888542444
"Phenylalanine",1.06922898206294,1.03939434591098,1.1968142012282,1.61309271356691,1.80593705075509,2.565147837895,1.53881428568901,0.732104755507589,0.729080958803402,0.655206952715514,1.25138725862067,1.09340578866382
"Aspartic",1.28399740911979,0.710390573525244,0.410339699173924,0.601073254715082,0.447921995828428,0.669389148708608,1.5574289290917,0.749114618794254,0.693456452114051,0.497830651864594,1.2978819509071,1.20428739722831
"Glutamic",1.12708583529022,0.890244356419861,0.72672883028776,1.21103925918782,1.04038109470844,1.57770264889896,1.35337637046121,0.816314920335846,0.830308709202941,0.60407501635105,1.26985611020369,1.12606887344526
"Tryptophan",2.28794511684139,2.00184598704639,1.88893267444046,3.97639502349827,3.83187434811218,4.53775015665094,1.08490829942584,0.966339240322967,0.948752460251196,0.82058929327684,1.30327977022546,0.876130936497697
"GAP",1.62409956612645,1.28553835028337,1.08363614342953,0.720908801577769,0.91047988315789,1.36241714309821,1.283572514572,0.860359018287688,0.856068467140314,0.775556855766918,1.27139954114545,0.95304360308763
"NAD",1.52703129391173,0.843791712301278,0.70231802201074,1.46490715458302,1.01538687496255,2.16770690341614,1.74769747507579,0.577052016109368,0.675250508814839,0.590056458012539,1.26297490574788,1.14696863623958
"Sucrose6P",1.28127444562507,1.15718893559039,1.10028760806027,1.34379539611793,0.506843991756798,0.602694506297395,1.1307696539063,0.817207302791739,1.05202304330196,0.460881213680725,1.20127514007837,1.3378436462409
"Fructose6P",0.730846761780981,1.12575734252588,1.00231568265715,0.586290049915592,0.910285361931925,1.46880620030297,0.977181197592101,0.910937488999159,1.11188131340874,0.689729186654383,1.33169647149157,0.978574341854049
"Ribulose5P",1.11032685909357,1.39027400032126,1.12441050314076,0.475139369829829,2.1253827696897,2.34866053597972,1.26560931763266,0.841946369139864,0.892444313227472,0.685814895127665,1.43878001919381,0.875405085678522
"AMP",1.99359998706629,1.98125829110541,1.21284156401567,1.02679982857782,1.19553400774774,1.38158076894263,1.15587498087588,0.971597093777898,0.872527925346227,1.04830029509388,1.09201914775161,0.859680557154513
"UDPG",0.958611076456967,1.00442675245297,0.788958205712305,0.954355636867935,0.839835648825903,1.24224797466871,1.12325536216961,0.848727764435913,1.02801687339447,0.750568452931416,1.3276433510695,0.921788195999084
"X3PG",0.486427793423125,0.637365031435944,0.354851086261195,0.654830315161698,0.933282273078637,2.13486551169595,1.00081880711732,1.0351131116881,0.964068081194577,0.522113554909191,1.49789182283594,0.979994622254867
"PEP",0.377425905355265,0.408741417096545,0.485852308253687,0.832887562566521,1.16094602168613,2.78885268476555,1.21322793331891,0.843268801238623,0.943503265442468,0.689063472764512,1.34893262283955,0.962003904395934
"UDP",1.04312233175571,0.66898468039326,0.625757659072536,0.847658082967005,0.834278828399291,1.73731768409546,1.10013262634317,1.11963569195757,0.780231681699262,0.595456771982869,1.33333433770697,1.07120889031016
"GDP",2.25564044142692,0.822736363971093,0.528898897304379,0.750427272717768,0.682644280167523,1.72517013010925,0.912102892238598,1.25344074369564,0.834456364065758,0.644318175648225,1.37559133813985,0.980090486211927
"NADH",1.92490322544779,0.831390581241555,0.803597174980808,1.06904162356328,0.714338217201377,1.64792257633902,1.57556994419833,0.628390821022408,0.796039234779263,0.361468543199604,1.33342619366269,1.30510526313771
"NADP",0.981084911395998,0.626921049365052,0.417395001283509,0.528263614417316,0.42963932135477,0.879092238899735,1.285227303861,0.975955660756446,0.738817035382554,0.643019321359389,1.42685536738277,0.930125311257838
"ADP",1.23006993023627,0.915380941691923,0.620245752555441,0.705119139107072,0.694072190057622,1.35765079468193,1.13207813859429,0.988065953517631,0.879855907888074,0.613314723617344,1.43997311520302,0.946712161179632
"Fructose16P",4.29685391259239,1.63475933428651,0.960956838414162,0.399241481161024,0.244197415442631,0.564711946148667,1.30411212916836,0.958196446908595,0.737691423923044,0.71283376948673,1.3952773107422,0.891888919771072
"UTP",0.900408723401483,0.551084557430773,0.439457533351282,0.61071127906504,0.491141065032869,0.921068313876469,1.34171358306757,0.859590206645605,0.798696210286826,0.556980367419992,1.42745120788579,1.01556842469422
"GTP",1.53705445224599,0.772214698740805,0.451391443260787,0.592091577844173,0.529368195363212,1.03022064137071,1.26505811586306,0.950819948143597,0.78412193599334,0.578716592092248,1.44717401057479,0.974109397332967
"ATP",0.814302944335618,0.568244447354434,0.457200321045932,0.644329166185283,0.520429341034785,0.914296405698812,1.28179329445433,0.901432608688982,0.816774096856685,0.565081309502865,1.41245536596728,1.02246332452986
"NADPH",0.890334360737802,0.649390670697625,0.472984367239039,0.367556017966056,0.454238141993465,0.588563782492781,1.36484400926331,0.840630975804452,0.794525014932243,0.496933781320466,1.38931271305296,1.11375350562657
"AcCoA",1.43780220129917,0.846009106190773,0.630951083134127,1.13406679092025,0.822255648448628,2.00934118712868,1.24114146269995,0.868966065007222,0.889892472292825,0.590863053299789,1.37263488480676,1.03650206189345
"Glucose6P",0.906779557529615,1.09077856860116,1.05767317253589,0.660279965726344,1.03245178839004,1.3876721802626,1.08166872550743,0.901418581887749,1.01691269260482,0.71783045389486,1.30662259368517,0.975546952419968
"Glucose1P",1.3264939718393,1.24096201542897,1.08495005095334,0.772652584982183,1.09663108772231,1.33470974261663,1.1055013561941,0.871338692487921,1.02315995131798,0.759704667623468,1.25697744342277,0.983317888953757
"Succinic",1.90455882984227,1.00047168634585,1.35531431781781,1.52059621256149,1.45985481611297,1.56720129387454,1.41580207033026,0.782372306727141,0.801825622942597,1.16468902731399,0.967697190303112,0.867613782382902
"Oxaloacetic",0.975784584408549,0.813399541490336,0.617014803804809,0.864483481872874,0.829631093008987,1.04746934179179,1.81482654100318,0.626633898901756,0.55853956009506,0.706908569178754,1.4811451237337,0.811946307087546
"Fumaric",1.13161910543252,1.09101420075323,0.985265438405124,0.992334567540696,1.13065429810379,1.29561500445116,1.05050374632133,0.920012887048206,1.02948336663047,0.728121837618653,1.24915904042418,1.02271912195717
"Malic",1.15387967906482,1.07184073215827,0.994476475882792,1.02730760625118,1.04037858230734,1.57341057700077,1.05520826291311,0.912591731162343,1.03220000592455,0.711026324945827,1.19435442197142,1.09461925308275
"a.ketoglutaric",0.795400214171674,1.27902332580137,1.36290762187472,1.96090370943663,3.36109725074121,4.76828504323697,0.879329320346928,1.01094943417199,1.10972124548109,0.667302689110078,1.36162780053839,0.971069510351527
"ADPG",2.6982368172421,0.942026704149519,1.2602686369324,1.96054641285427,1.79466318652577,2.81776011352203,1.59083144987165,0.703471812008185,0.705696738120166,0.423322869798576,1.40274526982389,1.17393186037754
"GG",0.996459453991898,0.863823264317283,0.773810374545299,0.781560178557432,0.647544570070144,1.25301037585454,1.23979581103507,0.859977373112885,0.900226815852042,0.800913392411955,1.1819757855732,1.01711082201485
"GSSG",1.15945774126352,1.36941627039778,1.07035321615562,0.754425421943922,0.963995242814332,0.801888729877922,0.986638148020463,0.957393870249258,1.05596798173028,1.0605096543412,1.01557899721904,0.923911348439766
"Citrulline",1.71547454965078,0.887078372324601,1.03624306430893,2.13712150505994,0.833880513098309,1.19473105403733,1.43642481581354,0.567669983368675,0.995905200817786,0.857967081287594,1.16879235763688,0.973240561075525
"CoA",2.2774815626094,1.08707710301913,0.866903360632632,0.282249820350638,0.337398543843606,0.522325860710712,1.21578145005038,0.937226773019349,0.846991776930269,0.467515100376967,1.43580444529862,1.09668045432441
"Erythrose4P",1.14972684366486,1.16075171161573,1.10359982510863,0.64730557185515,0.879304839249064,1.41140668008869,1.09003403299431,0.916064754626229,0.993901212379458,0.697197671516329,1.34679598572901,0.956006342754662
"Ribose5P",1.22498807679369,1.2367291442827,1.03463123963733,0.490088359226508,2.26337351400074,2.39881890806479,1.2216347516006,0.866539497204097,0.911825751195305,0.69996229005241,1.41589289984239,0.8841448101052
"X6phosphogluconic",0.877719272825592,0.575429724023542,0.576550635805051,1.13104914288064,0.599358502941814,0.661155127151568,0.9470136979469,1.0280016893618,1.0249846126913,0.926860950162977,1.18327234979462,0.889866700042399
"Glucose",1.31326761853214,1.09032875494918,0.899230731438519,1.41776957671568,1.05577626639461,1.7836060254657,1.36274415037093,0.824939565828974,0.812316283800101,0.828870823230748,1.23253734183274,0.938591834936514
"Sedoheptulose7P",0.335135715978707,0.652195636263272,0.673022949236354,0.647067876933194,1.45684068961385,1.672556913478,0.909201008232861,0.90148485453793,1.18931413722921,0.757193724128845,1.33745147829814,0.905354797573017
"Piruvic",0.872140170005022,0.916214889653683,0.962932879717665,0.817543083849045,1.09077417972418,1.44991571330349,1.32623485404146,0.859562009879803,0.814203136078742,0.77713563413415,1.24611388719119,0.976750478674656
"Isocitric",1.26041288700789,0.822171430177015,0.472322671704184,0.924332292028727,0.857511790788872,1.57516334263752,1.65474639014441,0.646645519502711,0.698608090352877,0.713520046088879,1.24877715362108,1.03770280029004
